:START_ID,:END_ID,:TYPE,collection,coverageLevel,isActiveInNetwork
http://data.europa.eu/esco/skill/123ea020-9f87-495f-b8c3-15133646392b,http://data.europa.eu/esco/skill/123ea020-9f87-495f-b8c3-15133646392b,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/126da6db-593e-4dd2-b35d-86f599a622f6,http://data.europa.eu/esco/skill/126da6db-593e-4dd2-b35d-86f599a622f6,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/12b7d5a1-1ad4-45dc-b0fa-b31d1eb2c79a,http://data.europa.eu/esco/skill/12b7d5a1-1ad4-45dc-b0fa-b31d1eb2c79a,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/12c82224-6394-4c3c-9831-2a8198ed1274,http://data.europa.eu/esco/skill/12c82224-6394-4c3c-9831-2a8198ed1274,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/13666d7d-41a8-42b6-80ba-34ea6a64667f,http://data.europa.eu/esco/skill/13666d7d-41a8-42b6-80ba-34ea6a64667f,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/13bdd41a-2a18-441f-96db-41252c519413,http://data.europa.eu/esco/skill/13bdd41a-2a18-441f-96db-41252c519413,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/14029d35-3831-4176-be75-da64e6024e6f,http://data.europa.eu/esco/skill/14029d35-3831-4176-be75-da64e6024e6f,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/14062e1c-6540-4cb6-b343-ad419e3d10ac,http://data.europa.eu/esco/skill/14062e1c-6540-4cb6-b343-ad419e3d10ac,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/14525f24-afb4-4a4e-80a7-facf27080cdd,http://data.europa.eu/esco/skill/14525f24-afb4-4a4e-80a7-facf27080cdd,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/14764a75-3104-4875-ba1d-57c059b9b013,http://data.europa.eu/esco/skill/14764a75-3104-4875-ba1d-57c059b9b013,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0,http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/14d1e367-3efe-4ec5-86ae-eca48710ee4e,http://data.europa.eu/esco/skill/14d1e367-3efe-4ec5-86ae-eca48710ee4e,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/14fdac88-6d4a-4e47-9df5-02c6d1e86fdd,http://data.europa.eu/esco/skill/14fdac88-6d4a-4e47-9df5-02c6d1e86fdd,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/1557b114-8222-46d5-acff-d2838909c302,http://data.europa.eu/esco/skill/1557b114-8222-46d5-acff-d2838909c302,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/1558e8f3-67c9-4be6-bf2c-c5ab7b6de5f9,http://data.europa.eu/esco/skill/1558e8f3-67c9-4be6-bf2c-c5ab7b6de5f9,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/15c522eb-cd6d-4b00-9d95-db20c0f8df88,http://data.europa.eu/esco/skill/15c522eb-cd6d-4b00-9d95-db20c0f8df88,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/1605025e-a179-421f-8f35-5b07d182a6b2,http://data.europa.eu/esco/skill/1605025e-a179-421f-8f35-5b07d182a6b2,IN_COLLECTION,Digital,high,True
http://data.europa.eu/esco/skill/162c7407-14ec-43ef-a4c2-31ccd1267850,http://data.europa.eu/esco/skill/162c7407-14ec-43ef-a4c2-31ccd1267850,IN_COLLECTION,Digital,high,True
