uri:ID,:LABEL,preferredLabel,description,skillType,reuseLevel,status,collection,coverageLevel,code
http://data.europa.eu/esco/skill/1c9bb265-6ff7-428e-9a72-9c8df75178b8,GreenSkill,assess impact of industrial activities,Analyse data to estimate the impact of industrial activities on resource availability and groundwater quality.,skill/competence,cross-sector,released,Green,high,GRN_1c9bb265-6ff7-428e-9a72-9c8df75178b8
http://data.europa.eu/esco/skill/1cf20c3c-027e-45f4-bad1-c91b98726d28,GreenSkill,provide information on geothermal heat pumps,"Provide organisations and individuals searching for alternative methods to provide buildings with energy on the cost, benefits, and negative aspects of the installation and use of geothermal heat pumps for utility services, and what one must take into account when considering the purchase and installation of geothermal heat pumps.",skill/competence,sector-specific,released,Green,high,GRN_1cf20c3c-027e-45f4-bad1-c91b98726d28
http://data.europa.eu/esco/skill/1d4ddf05-510a-424a-85d3-2305558665c5,GreenSkill,research ocean energy projects,Conduct wave and tidal energy project research and develop the projects from concept to delivery.,skill/competence,sector-specific,released,Green,high,GRN_1d4ddf05-510a-424a-85d3-2305558665c5
http://data.europa.eu/esco/skill/1de91358-6ad3-4513-b975-396c61cf8858,GreenSkill,advise on fitted ventilation systems,"Investigate and advise on a ventilation system that fits the energy demands but also guarantees good indoor air quality according to minimum indoor air quality levels. Consider alternative ways of ventilation (e.g., stack ventilation, use of chimney effect, natural ventilation).",skill/competence,sector-specific,released,Green,high,GRN_1de91358-6ad3-4513-b975-396c61cf8858
http://data.europa.eu/esco/skill/1e2e8415-0a45-466b-ba7b-25c0e72538c1,GreenSkill,perform a feasibility study on district heating and cooling,"Perform the evaluation and assessment of the potential of district heating and cooling system. Realise a standardised study to determine the costs, restrictions, and the demand for heating and cooling of the buildings and conduct research to support the process of decision making.",skill/competence,sector-specific,released,Green,high,GRN_1e2e8415-0a45-466b-ba7b-25c0e72538c1
http://data.europa.eu/esco/skill/1e3222fa-724d-41f0-9b0a-e88d1003cd35,GreenSkill,perform a feasibility study on solar absorption cooling,"Perform the evaluation and assessment of the potential of the application of solar cooling. Realise a standardised study to estimate the cooling demand of the building, costs, benefits and life cycle analysis, and conduct research to support the process of decision making.",skill/competence,sector-specific,released,Green,high,GRN_1e3222fa-724d-41f0-9b0a-e88d1003cd35
http://data.europa.eu/esco/skill/1ead478f-4e9d-4aa7-a728-823fc1e894f5,GreenSkill,assess waste type,"Identify waste materials during collection and sorting operations in order to assess whether they need to be recycled, disposed of, or otherwise be treated.",skill/competence,sector-specific,released,Green,high,GRN_1ead478f-4e9d-4aa7-a728-823fc1e894f5
http://data.europa.eu/esco/skill/1ee7d019-9226-4844-925f-a8a8c4db3444,GreenSkill,coordinate airport environmental policies,"Direct and coordinate airport environmental policies and regulations to mitigate impact of airport activities e.g. noise, reduced air quality, heavy local traffic, or the presence of hazardous materials.",skill/competence,sector-specific,released,Green,high,GRN_1ee7d019-9226-4844-925f-a8a8c4db3444
http://data.europa.eu/esco/skill/1f632076-fd9b-4b18-a9a2-b59a59181d3e,GreenSkill,urban planning law,"Investments and urban development agreements. Legislative developments regarding construction in terms of environmental, sustainability, social and financial matters.",knowledge,cross-sector,released,Green,high,GRN_1f632076-fd9b-4b18-a9a2-b59a59181d3e
http://data.europa.eu/esco/skill/1fe682ad-b8a2-44bb-a557-7eccf79b2014,GreenSkill,operate recycling processing equipment,"Operate recycling processing equipment such as granulators, crushers and balers; process and sort materials to be recycled.",skill/competence,cross-sector,released,Green,high,GRN_1fe682ad-b8a2-44bb-a557-7eccf79b2014
http://data.europa.eu/esco/skill/203083ca-b051-4c28-8986-fc8731bacee5,GreenSkill,sustainable finance,"The process of integrating environmental, social and governance (ESG) considerations when making business or investment decisions, leading to increased longer-term investments into sustainable economic activities and projects.",knowledge,sector-specific,released,Green,high,GRN_203083ca-b051-4c28-8986-fc8731bacee5
http://data.europa.eu/esco/skill/21331900-9d2a-4806-9a0c-a1885e16dc3d,GreenSkill,perform forest analysis,Develop situation analysis reports on biodiversity and genetic resources relevant to forestry.,skill/competence,sector-specific,released,Green,high,GRN_21331900-9d2a-4806-9a0c-a1885e16dc3d
